category,Active_Services,Date_List,Number_of_Active_Trips
1,"['1703-1', '1703-1a469e53d32c6ac70b070ac34eb8a28c', '1703-401', '1703-4401']","['2025-01-06', '2025-01-13', '2025-01-20', '2025-01-27', '2025-02-03', '2025-02-10']",39459
2,"['1703-1', '1703-a50fd4b0d736a62cdc8b0ca9470e3cd2', '1703-401', '1703-4401']","['2025-01-08', '2025-01-09', '2025-01-15', '2025-01-16', '2025-01-22', '2025-01-23', '2025-01-29', '2025-01-30', '2025-02-05', '2025-02-06', '2025-02-12', '2025-02-13']",39489
3,"['1703-1', '1703-a50fd4b0d736a62cdc8b0ca9470e3cd2', '1703-401', '1703-4501']","['2025-01-07', '2025-01-10', '2025-01-14', '2025-01-17', '2025-01-21', '2025-01-24', '2025-01-28', '2025-01-31', '2025-02-04', '2025-02-07', '2025-02-11', '2025-02-14']",39491
4,"['1703-2', '1703-a50fd4b0d736a62cdc8b0ca9470e3cd2']","['2025-01-11', '2025-01-18', '2025-01-25', '2025-02-01', '2025-02-08', '2025-02-15']",31358
5,['1703-24870141e1b4d25daaeb8c164a53c4e5'],['2025-02-16'],376
6,['1703-3'],['2025-01-05'],27820
7,"['1703-3', '1703-24870141e1b4d25daaeb8c164a53c4e5']","['2025-01-12', '2025-01-19', '2025-01-26', '2025-02-02', '2025-02-09']",28196
